index,key,value,p-value,test-statistic,critical-values
21,ATLCP,ATLCZ,0.03409498784155795,-3.4812406928791653,[-3.94447913 -3.36270851 -3.06286115]
22,ATNFW,BDMDW,0.00763971283041377,-3.9810941930555783,[-3.94060523 -3.36058133 -3.06139039]
23,ATUS,BCTX,0.048350360351036,-3.3489097591802586,[-3.94060523 -3.36058133 -3.06139039]
24,AUUDW,BDMDW,0.02256256209211229,-3.6287776774152736,[-3.94060523 -3.36058133 -3.06139039]
25,AZTR,BDMDW,0.005714441854276722,-4.068842462606467,[-3.94060523 -3.36058133 -3.06139039]
26,BACQ,BBDC,0.0034711987090630466,-4.214194928915302,[-4.5278525 -3.6586925 -3.26331  ]
27,BANFP,BDL,5.07754258664519e-05,-5.270723451772147,[-3.94060523 -3.36058133 -3.06139039]
28,BEAT,CCG,0.0030696849400189815,-4.249104582805187,[-3.94060523 -3.36058133 -3.06139039]
29,BENFW,CCG,0.0023941803274308373,-4.318653780548609,[-3.94060523 -3.36058133 -3.06139039]
30,BETRW,CCG,0.00013420446800008605,-5.048054240213076,[-3.94060523 -3.36058133 -3.06139039]
31,BFRI,CCG,0.02559983076777819,-3.5845621792439393,[-3.94060523 -3.36058133 -3.06139039]
32,BGT,BSL,0.00967126007728917,-3.90796342472859,[-3.94060523 -3.36058133 -3.06139039]
33,BHST,BTOC,2.973551276750437e-07,-6.334926853975174,[-4.25910272 -3.52754993 -3.17546892]
34,BITF,CCG,0.021801870692521368,-3.640654801096768,[-3.94060523 -3.36058133 -3.06139039]
35,BKHAR,CCG,0.03791670856213547,-3.4417864213821665,[-3.96619902 -3.37458465 -3.07106375]
36,BKYI,CCG,0.032705073110503455,-3.4965206588687976,[-3.94060523 -3.36058133 -3.06139039]
